time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,8877/cpu,8877/rss,8966/cpu,8966/rss,9073/cpu,9073/rss,9161/cpu,9161/rss,9270/cpu,9270/rss,9525/cpu,9525/rss
148631.93,2854992,2802283,16370460,11085656,1495,109936,8577,64716,13607,387168,778,67916,4857,130676,644,79440,584,71804,439,58296,788,55356,284,67220,169,47912
149636.45,2855590,2802871,16370460,11085656,1495,109936,8579,64844,13609,387168,778,67916,4859,130676,644,79440,584,71804,439,58296,788,55356,284,67220,169,47912
150640.83,2856189,2803459,16370460,11077604,1496,109936,8579,64844,13612,387168,778,67916,4859,130676,644,79440,584,71804,439,58296,788,55356,284,67348,169,47912
151645.25,2856784,2804044,16370460,11084616,1496,109936,8581,64844,13614,387168,778,67916,4861,130676,644,79440,584,71804,440,58296,788,55356,284,67348,169,47912
152650.67,2857383,2804593,16370460,11097220,1497,109936,8587,66184,13624,387168,778,67916,4863,130676,644,79440,586,71804,441,58296,789,55356,285,67476,169,47912
153655.59,2857979,2805173,16370460,11096756,1497,109936,8590,66564,13627,387168,778,67916,4865,130804,644,79440,587,71804,441,58296,789,55356,286,66656,169,47912
154660.99,2858579,2805760,16370460,11096756,1497,109936,8591,66564,13630,387168,778,67916,4865,130804,644,79440,587,71804,441,58296,789,55356,286,66656,169,47912
155666.55,2859176,2806341,16370460,11104048,1497,109936,8592,66820,13633,387168,778,67916,4868,131316,644,79440,587,71804,441,58296,789,55356,286,66656,169,47912
156669.74,2859772,2806891,16370460,11098544,1497,109936,8605,65416,13654,387168,779,67916,4871,131316,645,79440,589,71804,443,58008,790,55356,286,66656,169,47912
157673.68,2860367,2807467,16370460,11107528,1497,109936,8607,65800,13658,387168,779,67916,4872,131444,645,79440,589,71804,443,58008,790,55356,286,66656,169,47912
158678.17,2860962,2808036,16370460,11110708,1498,109936,8609,66056,13661,387168,779,67916,4874,131444,645,79440,589,71804,443,58008,790,55356,286,66656,169,47912
159681.77,2861558,2808611,16370460,11108692,1499,109936,8611,66056,13664,387168,779,67916,4875,131444,645,79440,589,71804,443,58008,790,55356,287,66656,169,47912
160688.18,2862155,2809173,16370460,11108172,1499,109936,8619,66032,13676,387168,780,67916,4877,131444,646,79440,590,71804,444,58008,791,55356,287,66656,170,47912
161690.48,2862754,2809759,16370460,11108172,1499,109936,8620,66032,13678,387168,781,67916,4878,131444,646,79440,590,71804,444,58008,792,55356,287,66656,170,47912
162693.66,2863349,2810328,16370460,11110004,1499,109936,8622,66032,13681,387168,781,67916,4879,131444,646,79440,590,71804,444,58008,792,55356,287,66656,170,47912
163698.22,2863946,2810903,16370460,11110068,1500,109936,8626,66416,13685,387168,781,67916,4881,131444,646,79440,590,71804,445,58008,792,55356,287,66656,170,47912
164703.05,2864542,2811473,16370460,11112404,1500,109936,8633,65852,13695,387168,781,68044,4883,131444,646,79440,592,71804,447,58008,793,55356,287,66656,170,47912
